subID,subName
ENS212G,Public Speaking and the Art of Persuasion
EFN304G,Inorganic Chemistry 1
ENS213G,Writing II
ENS101G,How Language Works I: Sound and Word
TAN302G,Oral Pathology
ENS214G,Reading and Vocabulary Development II
ENS216G,"Content-Based Learning: Business, Tourism, and Law"
GFR076F,Liturgy and Hymnology
FRA201G,French society II – French language today
ENS136G,Case Study I: Resources
ENS217G,Case Study II: Research Project
FRA203G,History of France
TAN282G,Foundation Course in Philosophy
VIÐ609G,Strategy Formation and Implementation
TAN524G,Partial Dentures II
TAN520G,Pedodontics II
HSP321G,19th & 20th Century History of Ideas
MAN330G,Introduction to Biological Anthropology
ENS102G,The Talking Animal
HAG304G,Microeconomics III
FRA205G,French Grammar II
ÍSL521M,Romanticism and Emotions: The Nineteenth-century Modern Self
MVS301F,Qualitative Research Methods I
ÞRS310G,Diverse communication methods
INT202G,Development and self
TAN621G,Pedodontics IV - Clinical
LÖG106F,Icelandic Competition Law
ÞJÓ437G,Old Nordic Religion and Belief
LÖG122F,Environmental Law
LVG601G,Designing and making from glass
GSL101G,Chemistry
TAN607G,Pedodontics III
ABF104G,Literary Methods & Concepts
ABF305G,Trends and Methods in Literary Theory
ÍET213F,Teaching literature
TAN521G,Oral and Maxillofacial Surgery II
ABF210G,World Literary History
TAN523G,Lecture series II
ÍET007G,Field work in Icelandic II
SÁL441L,MS thesis in Psychology
SÁL442L,MS thesis in Applied Psychology; Clinical Psychology
TSM202G,Fixed Dental Prosthesis I
ENS313G,Sociolinguistics
HGF006G,Medical records 2
ÍET004M,The art of writing and literature
SJÚ307G,Statistics and research methods
LÆK618G,General anatomy for students in human nutrition
ÞÝÐ027F,Translation Studies
FRG504G,Community Work and User Involvement
FRG213F,Research in Social Work
ÞÝÐ030F,History of Translation
VIÐ172F,Project Management
ÞJÓ025G,"Being Icelandic: Icelandic Folktales, Beliefs and Popular Culture Past and Present"
ENS110G,British Literature 1789-1954
ENS201G,History of the English Language
MAT504M,Food Processing Operations
MAT702F,Current Topics in Food Sciences
ASK103F,Iceland‘s Foreign Relations
TAN622G,Oral Diagnosis IV
KME205G,"Creativity and play: Art, drama and music"
ENS203G,English Composition
INT301G,Pedagogy
TAN609G,Lecture series III
STÆ203G,Probability and Statistics
SÆN102G,Swedish Literature since 1980
MIS201F,New Critical Approaches
EFN205G,Chemistry II
STÆ412G,Theoretical Numerical Analysis
ENS204G,American History and Culture
SÁL144F,Research methods in Applied Behavioral Analysis B
MBA101L,MBA Final project
INT004M,Professionalism in education
LÖG109F,Basic Course in Public International Law
UPP219F,Web management and social media
VIÐ157G,Work Methods in Business Administration
ÍSR401G,Writing skill: Creative Science Communication
TAN416G,Lecture series I
VIÐ501G,Individual Taxation
TAN615G,Fixed Prosthodontics VI
EFN214G,Organic Chemistry L
EFN406G,Organic Chemistry 2
FRG306G,Unemployment and occupational rehabilitation
VÉL301G,Engineering Materials
FRG111G,Cooperation and Social Innovation in the Welfare Sector
KME002F,The joy of language: Effective preschool and compulory school activitieskindergarten
ENS329G,Literary Theory (English)
LÆK071F,Methods in immunology
IÐN401G,Operations Research
VÉL201G,Technical Drawing
LÆK202F,"Internal Medicine, theoretical"
ÍSR301G,Writing skills: Academic Writing
TAN606G,Orthodontics III
TAN604G,Oral and Maxillofacial Surgery III
ÍET103G,Icelandic in the classroom I
MAN018F,Development cooperation: Approaches and Institutions. Reading course.
SAG101G,Making History
VIÐ263G,Business Statistics A
HSP105G,Critical Thinking
EÐL401G,Electromagnetism 1
FFR103F,Research Seminar for MA students
VIÐ602G,Marketing Plans
ÍET302G,English Language and Use
LÖG168F,Administrative Law III
LÖG604G,Criminal Law II
LÆK408F,"Clinical Method: The doctor, his patient and the illness V"
VÉL601G,Heat Transfer
VÉL502G,Fluid Mechanics
SÁL330F,Research methods in Applied Behavioral Analysis A
TAN423G,Periodontology II
IÐN504G,Thesis Project
VÉL405G,Energy Processes
ENS315G,Literature and Essay Writing
HAG125F,Microeconomics for graduate students
MAL002F,Inclusive education: Practicum I
MAV431L,MS Thesis
LÖG603G,Law of Obligations II
ÞRS207F,Empowerment and Service
LÖG303G,Law of Contracts (Contracts)
ÞJÓ341G,Humanimals: Relations between humans and animals
EFN301G,General Chemistry V
TAN404G,Periodontology I
TÁK201G,Profiency Course II
ENS328G,Writing about Linguistics
SÁL443L,MS thesis in Applied Psychology; Quantitative Psychology
EFN112G,General Chemistry L
SÁL420F,Practicum in Psychology Clinic
UMD077F,Applied multilevel modeling using jamovi
LVG109M,Practical accompaniment in music education II
ÍTA403G,Italian Cinema
SÁL318F,Practical Training
SAG273G,Politics and culture — History of Iceland IV
SÁL242F,Seminar in quantitative psychology II
SPÆ102G,Conversation I
HSP808F,Ethics
SJÚ105F,Clinical Education I
TÖL607G,Competitive programming
TAN403G,Cariology
SÁL236F,Clinical Interviewing and Diagnosis
LÖG261L,BA-Thesis in Law
ÍTA302G,Italian Literature I
TAN203G,Oral Diagnosis I
ENS034F,Second Language Theories and Pedagogy
ÍTA410G,Italian Literature II and Short Stories
FFR102F,Theories and Perspectives in Disability Studies
EFN208G,Analytical Chemistry
TAN108G,Introduction to Dentistry
JAP208G,Japanese History
REI503M,Performance analysis of computer systems
TAN204G,Oral Biology I
STÆ213G,Mathematical Analysis IIE
SÁL234F,Practicum in Psychology Clinic
EÐL408G,Mathematics for Physicists II
HSP710F,Business Ethics
HJÚ727G,Chronic illness and health care
LVG022G,The garage band ensemble and computers
REI202G,Introduction to data science
INT401G,Sustainability education and sustainability
OSS441L,MPA Thesis
MAN017F,Multicultural society and migration
SPÆ107G,"Spanish Culture, Civilization and History"
HBV501G,Software Project 1
STÆ606M,Complex Analysis II
VIÐ171F,SSS - Theoretical Research Foundation and Phenomenology
TAN306G,Preclinical fixed Prosthetics I
LÖG213F,Law of the Sea
FÉL209G,Men and Masculinity
SÁL142F,Seminar in quantitative psychology I
TAN309G,"Removable Dentures, Preclin. II"
LEI503G,Genetics
HAG409G,Money and Banking
REI201G,Mathematics and Scientific Computing
SJÚ302F,Clinical Education III
SÁL141F,Research methods in Applied Behavioral Analysis
UPP215F,The Internet and Information Retrieval
ENS103G,British and European Cultural History
UPP224F,Use of information technology in professional work - Interaction of data and information systems
LÖG561L,Doctoral studies
LVG108F,Textile art and design in a historical context
GSL209G,Patient care
STÆ012F,Computing and Calculus for Applied Statistics
ÖLD442L,MA Thesis in Gerontology
MIS701M,Literature and Psychoanalysis. From Medieval Romance and Saga to the Modern Novel
INT601G,Senior seminar in International Studies in Education
SÁL626G,Health Psychology
LYF107M,Introduction to Pharmaceutical Sciences
ÞRS215G,Lifespan Development
KYN201G,"Gender, Diversity and Multiculturalism"
VIÐ182F,HR Leadership and Communication
TÖL301G,Formal Languages and Computability
TÖL107G,Web Programming 1
TAN417G,Anaesthetics I
MAN095F,Globalization
SAF201G,Introduction to Museology and Museography
VÉL406G,Dynamics and vibrations
VIÐ188F,Lean and Agile principles
HGF204G,English for Health Information Technicians - part 1
VÉL509G,Thesis Project
ÞJÓ452G,"Immersion in Icelandic Culture, Society, Geology and History: Understanding Icelanders and Iceland through the Geothermal Pools/Baths"
MOM102G,Languages and Cultures I: Academic Methods and Techniques
FFU201F,Parent-child interaction
TÁK404G,Sign Language Linguistics III
FÉL309G,Criminology
LÆK101F,"General statistics, course for M.Sc. and Ph.D. students"
VIÐ403M,Business Taxation
TAN508G,Periodontology III
TAN414G,Complete Dentures  II
TAN611G,Operative Dentistry VI
EVF302G,Physical Chemistry for Engineers
ÍSL109G,Study Methods in Icelandic
FRA026F,Directed Study: Autobiographies
TAN418G,Partial Dentures I
FRA605G,Directed Study: Autobiographies
VIÐ103G,Introduction to Financial Accounting
FRA440G,Autobiographies
HJÚ309G,Physiology II
UPP112F,Organization of knowledge
HBV101G,Introduction to Software Engineering
LÖG234F,International Economic Law
ÍSL301G,Trends and Methods in Literary Theory
EVF264L,Final project
HJÚ831G,Emergency nursing
KEN103G,"Individuality, special education and teaching in a diverse classroom"
KYN211F,Theories in Gender Studies
FER210F,Theories in Tourism Studies
STÆ205G,Mathematical Analysis II
UPP003F,Libraries  in Iceland
LVG004M,Old Craft Traditions in Education
LVG003M,Working with clay through art process
GKY301G,Development of language and literacy
GSL509G,Nuclear medicine 1
RÚS301G,Russian literature II: 20th Century
VÉL206M,Computer Aided Design
TAN614G,Periodontology VI  - Clinical
VÉL205M,Mechatronics
TAN619G,Orthodontics  IV - Clinical
TAN618G,Orthodontics IV
LAN203G,Statistics
INT004F,Critical Theories in education in an international context
VIÐ510G,The Labour Market and its Development
UPP222F,Quality Management  and Knowledge Management
UMM448L,Final project
INT104F,Issues in social and educational research
VÉL608G,Modern manufacturing processes
MIS701F,The Old Norse-Icelandic Literary Corpus – Overview and Main Questions
EVF601M,Process Design
LYF122F,Pharmaceutical Biotechnology
ÍET205G,Icelandic as a school subject II
LYF215F,Ethics
HBV205M,Software Testing
VÉL501M,Corrosion
GSL415G,Medical imaging 3
ASK110F,Issues and Debates in European Integration
ASK113F,Arctic Politics in International Context
KYN202G,Gender Studies Theories
MAN403G,Qualitative Research Methods (Research methods  II)
ENS205G,American Literature
SPÆ204G,Spanish Grammar II
FRG042F,Seminar on MA thesis
JAR256F,Volcanic succession in Iceland and climate evolution in Iceland
IÐN610M,Business Intelligence
SPÆ205G,"Latin American Culture, Civilization and History"
REI603M,The AI lifecycle
ÍET301F,The use of new technology in teaching Danish
LYF519G,Pharmaceutical Nanotechnology
TÖL103M,Programming Projects on Internet of Things
ENS114F,Individual Research Project
STÆ209G,Statistics and Data Analysis
ÍET401F,Reflective practice and professional development in teaching Danish
LYF619G,Pharmaceutical Natural Products Chemistry
NSR107F,Practical training I: Introduction
FRG261L,BA Thesis in Social Work
HAG031M,Resource Economics
TAN602G,Oral Diagnoses III
MAS102M,R Programming
HSP073F,Research Ethics
TSM102G,Anatomy of the head and neck
KME210F,Play and creativity
OSS111F,Public Administration
LIS101G,Methodology and Theory of Art History
TAN605G,Periodontology V
FRG314G,Social Legislation I: Execution and Application
LÆK623F,Personalised medicine from a Nordic perspective
RAF613G,Power Systems Analysis
FRG441L,MA Thesis in Social Work
LEI205G,Science and team work
TAN420G,Clinical Oral Physiology II
FRG501L,PhD Thesis
HÍT001G,"The lifespan: Cognition, motor skills and social relations"
SPÆ102M,Introduction to Spanish Linguistics
FRG509G,Disabled people and society
ÍET201G,Danish as a foreign language
STÆ519M,Differential Geometry
ASK055F,Internship:  United Nations Association in Iceland
TSM301G,Digital Dental Technology and Dental Implants
ASK206F,Negotiations
ASK441L,MA Thesis in International Affairs
LÝÐ101F,"Public Health: Science, Politics, Prevention"
LEI505G,Genetics 2
HBV507M,Usable Privacy and Security
ÍET402F,Language Aquisition in Danish 2
SPÆ202M,History of the Spanish Language
FRG603G,Management in social work
MIS105F,Old Icelandic 1
FRG204G,Families and Family Policy
FRG205G,"Crisis, Grief and Psychological First Aid"
ABF225G,Latin Literature
MFR701F,Cultural Studies and Social Critique
ÖLD102F,Gerontology: Policymaking and Services
SJÚ202F,Geriatric physical therapy
FRG212G,"Development, communication and relations"
ÖLD201F,"Factors of Influence in Ageing: Environment, Social Relationships and Health"
MFR703M,Culture and Dissent
TAN515G,Periodontology IV
ATF203F,Practicum in Applied Behavior Analysis 3
TAN517G,Fixed Prosthodontics IV
LEI602G,Microbiology - infectious diseases
TAN519G,Orthodontics II
STÆ312M,Applied Linear Statistical Models
ASK117F,Introduction to Arctic Studies
SÆN101G,Swedish Language I
ILT202F,"Overexpression, purification and quality of proteins– Lab course"
SÆN201G,Swedish Language II
FRG105F,The Social Work Profession and ethics
LÝÐ085F,Epidemiologic Methods (Epidemiology II)
FRG406G,Social Law II: Process and the Rights of the Client
EVF202F,Reaction Design
SÆN205G,Translation (Swedish)
LAN101G,Physical geography
HAG101G,Mathematics for economists I
SÆN206G,Swedish Grammar II
HSP417G,Contemporary Political Philosophy
SAG355G,Medieval Icelandic churches – A mirror of society
FRG443L,MA Thesis in Family Therapy
LÆK034G,"Reading, understanding and interpreting scientific literature"
SÆN105G,Ingmar Bergman - Rebelling against the Father Image
MIS801F,Old Icelandic 2
BLF441L,MA Project in Journalism
DAN424G,Pragmatics in Danish
FRG308G,"Interdisciplinary team work, leadership and case management"
LÖG441L,Master's Thesis in Law
LÍF532M,Fish Ecology
HBV201G,Graphical User Interface Programming
HAG103G,Macroeconomics I
FFU101M,Introduction to Parenting and Counseling for Parents
LÆK205F,"Surgery, clinical"
DAN307G,Danish Literary History to 1900
LÆK303F,Medical Genetics
LÆK402F,Pediatrics
GFR708F,Individual Special Subject
RIT701F,Workshop: Introduction to Creative Writing
DAN408G,Translation (Danish)
HAG108G,Probability and Statistics
DAN114G,Danish Grammar I: Word Class and Word Formation
HBV442L,Final project
STJ346G,Inferential statistics
FRG101G,"Introduction to Social Work: History, Theories and Profession"
ÞÝS105G,Writing Skills in German I
FRG401F,Practical Training II
FRG501G,Multicultural Social Work
FRG206F,Crisis Theory and Intervention
KME006F,Assessment and Curriculum in Compulsory Schools
FRG605G,Social Law III: Child Protection and Family Law: Process and Execution
FRG004F,Reading course in spesialised area
LEI204G,Health services - biomedical science
LÆK621F,Introduction to Clinical medicine/communicational skills VI
FRG210F,Children and Adolescents - case work
FRG215F,Family Theories and Therapy
ÞÝS207G,"Spoken German Skills II: Retelling, Compilation and Debating"
RÚS201G,Russian Literature I: 19th Century
ÍSL211G,Old Icelandic linguistics
LÆK407F,Dermatology  and sexually transmitted diseases
VIÐ270F,Integrated marketing communications
FRG315G,School Social Work
SÁL201G,Behavior and Learning
ÍSL321G,Clauses and context
VÉL407G,Mechanical engineering design
LVG016G,Singing and choral conducting
ÞRS605G,In Focus. Seminar in Social Education
FRG442L,MA Thesis in Social Work
VÉL609G,Innovation and design
KYN302G,Term Paper: Gender Studies in a Flux: Current Issues in Theorising Gender
ÞÝS206G,German Grammar II
KYN561L,Doctoral Thesis in Gender Studies
SJÚ205G,Modalities in physical therapy I
MIS704M,The Viking Age
LVG024G,Music Education methods in praxis
ENS113F,MA-Seminar: Graduate Student Conference
KYN441L,MA Thesis in Gender Studies
HJÚ523G,Psychiatric Nursing and Mental Health
STÆ520M,Graph Theory
VIÐ205G,Services Marketing
OSS106F,Term Paper in Public Administration
OSS102F,Public Human Resource Management
NAF201F,Analysis of education needs
OSS107F,Term Paper in Public Administration
LYF113G,Introduction to pharmacy
ÞÝS412G,German Literature III: 20th Century Literature
OSS501L,Doctoral Thesis in Public Administration
TÖL105G,Computer Science 1a
OSS206F,Term Paper in Public Administration
LSS441L,Final project
HAG229F,Macroeconomics for graduate students
ÞÝS417G,German for Tourism B: Guiding
ÞJÓ601L,BA thesis in folkloristics
VÉL202G,Strength of Materials
OSS017F,Term Paper in Public Administration
OSS014F,Term Paper in Public Administration
SÁL239F,Latent variable models II
FOR406G,Field Work Experience in Archaeology
STJ106G,Politics of the Past
STJ109G,Economic Approaches to Politics
STJ261L,BA Thesis in Political Science
STJ241L,BA Thesis in Political Science
LVG302G,"Icelandic Art History, Museums and Education"
AVS001L,MA Thesis
STJ303G,Term Paper in Political Science
TÁK108G,Introduction to Sign Language Studies
UPP005F,Practical Project
LÝÐ098F,Research Training in Public Health Sciences
HJÚ131G,Cell Biology
STJ356G,Political Sociology
STJ441L,MA Thesis in Poltical Science
STJ501L,Doctoral Thesis in Political Science
LÖG108G,Propaedeutic Philosophy
LÖG101G,Introduction to the Icelandic legal system
LÖG103G,"Legal Theory, Statutory Interpretation and Brief Overview of Icelandic Legal History"
LÖG504G,Law of Obligations I
TAL109F,Speech sound disorders in children
LÖG102F,Law of Corporations I  (Corporate Law I)
LÖG203F,Foreclosure and Forced Sale of Property
LÖG222F,Rights of Civil Servants and Labour Law
HJÚ114G,Sociology and psychology
LÖG208F,The Nordic Moot Court Competition
LÝÐ045F,Global Health
LÖG209F,International Tax Law- Basic course
HJÚ319G,Growth and Development of children and teenagers
HJÚ320G,Health Assessment
LÖG118F,Law of Contracting and Tendering
ÍÞH114F,Physical training of children and youth
LÖG212F,"Natural Resources Law, EU/EEA Energy Law"
LÖG001G,Project- Law minor
LÖG002G,Project- Law minor
RÚS206G,Russia in the 20th Century: Soviet History
LÖG111F,International Human Rights Law
ÖLD441L,MA Thesis in Gerontology
LÖG131F,Domestic Tax Law-special part
ÍET401G,Communication culture in Danish teaching 1
VIÐ175F,Well-being and health-promoting servant leadership
LÖG242F,"Moot Court Competition, Jessup"
SÁL235F,Treatment of Neurodevelopmental Disorders
SÁL233M,Statistics
ÞÝS204G,German for Special Purposes II
LÖG003G,Project- Law minor
UAU102F,Introduction to Environment and Natural Resources
LYF127F,Core training in clinical pharmacy
LÖG169F,Research Methods in Law
FRA305G,French Grammar III
HGF005G,Medical record 1
LÖG305G,Property law I
ÍÞH006G,Football I
NÆR606G,Clinical Nutrition and pathology I
HJÚ527G,Nursing care for the chronically ill
HJÚ528G,Perioperative and Surgical Nursing
LÖG187F,Transnational Climate Law
HJÚ530G,Public and community health nursing
MON104G,Determinants of food choices – psychology and consumers
VÉL114F,Geothermal Power Plants
SÁL232M,Conceptual Analysis in Psychology
FMÞ001M,Visual Methodologies
SJÚ201F,Research methods
ATF101F,"Autism and developmental disabilities: Early teaching, support and consultation."
SÁL232F,Ethics in Psychological Practice
ATF201F,Behavior and Classroom Management
VIÐ625G,Digital marketing
VIÐ155M,Introduction to Microeconomics and Corporate Finance
STJ462G,Interest Organizations and State Power
ATF402F,Practicum in Applied Behavior Analysis 6
LÝÐ108F,"Orientation seminar: public health, epidemiology and biostatistics"
FRG109G,Social work and Icelandic society
LÝÐ441L,MPH Thesis in Public Health Sciences
SÁL229F,Treatment of Child and adolescent psychopathology
HGF101G,Introduction to Health Information Management
SJÚ308G,Exercise Physiology
RÚT704F,Fundamentals in Web Communications
SÁL228F,Psychotherapy - Adults
SJÚ306G,Movement Sciences I: Functional anatomy and biomechanics
STÆ402M,Measure and Integration Theory
LÆK416G,Ástráður
STJ101G,Introduction to Politics: The Icelandic Political System
SÁL204F,Analysis and Treatment of Behavioral and Learning Disabilities
SÁL202F,Clinical Neuropsychology
UAU201F,Environmental Governance
IÐN227F,Technology and innovation
IÐN128F,Human Factors in Engineering Design
IÐN229F,Performance Management
ÍSL213G,Contemporary Icelandic Literature
HAG514G,Public Finance
NÆR611M,Public Health Nutrition
IÐN131F,Supply chain strategies
MOM101G,Languages and cultures in times of crisis
HGF202G,Pathology for students in Health Information Management
TÓS004M,"Adventure, leadership and reflection: Under an open sky"
ÍSL447G,Morphology
ABF842F,Fantasies
HAG403G,Topics in Microeconomics
TAN412G,Endodontics II
HAG617M,Introduction to Law and Economics
AFB001F,Applied Criminology
LÖG133F,"Moot Court Competition, Jessup"
IÐN561L,Final project
ÍÞH325G,"Outdoor teaching, outdoor learning and health"
SÁL139F,Construction of self report scales
SÁL138F,Latent variable models I
HAG231F,Financial institutions and markets
SÁL136F,Child and adolescent psychopathology
KVI101G,Film Analysis
IÐN441L,Final project
ÞRS118G,Introduction to social education
TAN010G,"Anatomy B, head and neck"
SÁL135F,Adult Psychopathology
TAN013G,Prevention and Health Promotion
TAN101G,Dental Morphology Practical
TAN107G,Dental Morphology Theoretical
REI441L,Final project
HAG122F,Mathematics for Finance I
SÁL107F,Psychological Testing: Children
VIÐ404G,Operations Management
ÍET212F,Language past and present
SÁL105F,Psychological Testing: Adults
VÉL213F,"Plastic, Metals and Fibre Composites"
VÉL240F,Interdisciplinary Group Project Within Renewable Energy
LÆK115G,Anatomy IB
VÉL441L,Final project
LYF207M,Laboratory safety
FRG202G,"Social Policy, Welfare and Social Problems"
VIÐ286F,Employment Relations
LÆK203F,"Internal Medicine, Clinical"
HGF301G,Information technology in Health Sciences
LYF213F,Toxicology
UMV121F,Water quality
JAR561L,Final project
JAR129F,Numerical modelling in Earth Sciences
LSK007G,Teaching Natural Sciences and Mathematics to Younger Children
JAR441L,Final project
RAF601G,Electrical Machinery 1
LÆK222G,Cell biology and genetics
SÁL102F,Analysis and Assessment of Clinical Problems
KVI201G,History of Film
FMÞ401G,Artificial intelligence and society
SAG437G,Theories and concepts in history
JEÐ441L,Final project
KÍN101G,"Modern China: Society, Politics and Economy"
LÆK403F,Medical Genetics
KVI401G,Film Theory
JVI401L,Final project
STJ102G,Introduction to International Politics
LÆK305F,Neurology
HJÚ711G,Home nursing care
UPP501F,A Reading Course in MA Studies
LÆK310G,Molecular Life Sciences
HAG230F,Fixed income analysis
MLT701F,Programming in language technology
LYF102G,Cell physiology
LYF106F,Integrated Pharmacology
FER112F,Introduction to tourism studies
FER441L,Final project
BLF202G,Journalism III: Audio and visual media
BYG115F,Reinforced Concrete Structures 2
LÆK505F,Rehabilitation
HJÚ714G,Nursing Management
LÆK504F,Clinical toxicology
HJÚ726G,Violence and mental health-promotion
LYF220F,Pharmacoepidemiology
FRG108F,Diagnosis of Psychietric Disorders
LÆK515G,Pharmacology and Toxicology
SJÚ301F,Complicated cases
LÆK514F,Family Medicine
HGF303G,Pharmacology for Health Information Technicians
LYF111F,Seminar in Pharmacy
LÆK614F,Rehabilitation
STJ201G,Comparative Politics
ÍÞH052F,Water works and training
LÍF128F,Introduction to Research Studies and the Scientific Community
LÆK618F,Family Medicine
VIÐ298F,Service Design and Consulting
KME501G,Educational research
LÆK025M,Immunology
LSS108G,Language development in preschool
HJÚ721G,Nursing Research
LYF129F,Pharmacy Laws and Regulations
FÉL430G,Qualitative Research Methods
LYF212F,Seminar in Pharmacy
LYF217F,Clinical Therapeutics
LYF219F,Communication
EÐL102M,Advanced Topics in Electrodynamics
LYF223F,Analytics for Biologicals
LYF301L,MS project
HAG308G,Microeconometrics
LÆK225G,The Clinical Approach: Communication - Psychology I
LYF302F,Medicinal Chemistry/Drug Design
HJÚ130G,Principles of human anatomy and embryology
MAN204G,Ethnography II
STÆ401G,Mathematical Analysis IV
LYF311F,Seminar in Pharmacy
LYF404F,Seminar in Pharmacy
LYF407F,Using research in clinical practice
LYF408F,Clinical and professional practice I
LYF410G,Pharmacokinetics
LYF442L,Final project
LYF503F,Audit/service Evaluation
LYF504F,Clinical and professional practice II
LYF515G,Medicinal Chemistry II
HAG309G,Macroeconometrics
LYF518G,Medicinal Chemistry
INT501G,Engaging with and reflecting on culture(s) and identities
LYF561L,Ph.D. project
LYF562L,Ph.D. Project in Pharmaceutical Sciences
LYF601F,Seminar in Pharmacy
LYF604F,Quality improvement
LYF617G,Recently registered drugs
LYF620G,Research project - exchange students
STJ453G,Public Administration
VIÐ418G,Consumer behaviour and marketing
LYF802F,Seminar in Pharmacy
HHE601L,Final project
JAP102G,Written Japanese Language I
HÍT501G,"Research methods in health promotion, sport and leisure studies"
LEF302G,Biochemistry 1
ÍÞH108G,Physiology
HAG201G,Microeconomics II
BYG222F,Fire Protection Engineering
ÍÞH262L,Final project
EÐL528M,Ergodicity and its breaking in classical and quantum systems
ÍÞH513G,Exercise prescription for health
ÍÞH516G,Diversity and inclusion in sport teaching and training
ÍÞH515G,Sports psychology
UMV441L,Final project
HÍT504M,Determinants of Health
TÓS261L,Final project
TÓS262L,Final project
TÓS311G,Training II
TÓS312G,Inclusive research I
TÓS509G,Field based project II
FRG408G,Abuse and Neglect in Families
LÍF130F,"Research methods for fish, marine and freshwater biology"
FÉL108G,Work Methods in Sociology
MBA101F,Management and communication
HHE204G,An introduction to health promotion and home economics
VIÐ301G,Finance I
ÍÞH029G,Combat and extreme sports
